Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(13737988k free), swap 35500528k(8366592k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:ParallelGCThreads=4 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2.295: [GC (Allocation Failure) [PSYoungGen: 261366K->11912K(305664K)] 261366K->11920K(1005056K), 0.0026858 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.915: [GC (Allocation Failure) [PSYoungGen: 273050K->10840K(305664K)] 273058K->10848K(1005056K), 0.0025119 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.767: [GC (Allocation Failure) [PSYoungGen: 266944K->31288K(305664K)] 266952K->31296K(1005056K), 0.0054916 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
8.409: [GC (Allocation Failure) [PSYoungGen: 259214K->21048K(305664K)] 259222K->21064K(1005056K), 0.0042341 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.828: [GC (Allocation Failure) [PSYoungGen: 251502K->26200K(305664K)] 251518K->77416K(1005056K), 0.0156977 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
11.266: [GC (Allocation Failure) [PSYoungGen: 256653K->31288K(307200K)] 307869K->184904K(1006592K), 0.0317887 secs] [Times: user=0.00 sys=0.02, real=0.03 secs] 
12.824: [GC (Allocation Failure) [PSYoungGen: 294460K->5184K(279040K)] 448076K->210552K(978432K), 0.0161514 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
14.266: [GC (Allocation Failure) [PSYoungGen: 235847K->16416K(311296K)] 441215K->272992K(1010688K), 0.0168604 secs] [Times: user=0.02 sys=0.02, real=0.02 secs] 
17.008: [GC (Allocation Failure) [PSYoungGen: 247043K->25632K(309760K)] 503619K->302688K(1009152K), 0.0152262 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
18.443: [GC (Allocation Failure) [PSYoungGen: 256263K->30720K(306688K)] 533319K->328264K(1006080K), 0.0156031 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
19.986: [GC (Allocation Failure) [PSYoungGen: 261283K->0K(268800K)] 558828K->348744K(968192K), 0.0156729 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
21.422: [GC (Allocation Failure) [PSYoungGen: 230566K->5120K(307200K)] 579310K->507464K(1006592K), 0.0357244 secs] [Times: user=0.00 sys=0.00, real=0.03 secs] 
22.885: [GC (Allocation Failure) [PSYoungGen: 235627K->6144K(307200K)] 737971K->564808K(1006592K), 0.0177311 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
24.314: [GC (Allocation Failure) [PSYoungGen: 211052K->10240K(308736K)] 769717K->620104K(1008128K), 0.0158631 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
24.330: [Full GC (Ergonomics) [PSYoungGen: 10240K->0K(308736K)] [ParOldGen: 609864K->61969K(699392K)] 620104K->61969K(1008128K), [Metaspace: 2779K->2779K(1056768K)], 0.0111895 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
25.763: [GC (Allocation Failure) [PSYoungGen: 230546K->15360K(307712K)] 292516K->128529K(1007104K), 0.0055416 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.508: [GC (Allocation Failure) [PSYoungGen: 262381K->25632K(308224K)] 375550K->138809K(1007616K), 0.0023034 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.928: [GC (Allocation Failure) [PSYoungGen: 256224K->25600K(296448K)] 369401K->195105K(995840K), 0.0060007 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.453: [GC (Allocation Failure) [PSYoungGen: 210118K->5120K(308736K)] 379623K->174625K(1008128K), 0.0009383 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.867: [GC (Allocation Failure) [PSYoungGen: 235675K->6144K(308736K)] 405180K->226849K(1008128K), 0.0048551 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
34.304: [GC (Allocation Failure) [PSYoungGen: 236705K->11264K(311296K)] 457410K->289313K(1010688K), 0.0053798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.734: [GC (Allocation Failure) [PSYoungGen: 216299K->10240K(309760K)] 494348K->339489K(1009152K), 0.0050731 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
37.155: [GC (Allocation Failure) [PSYoungGen: 240873K->25600K(308736K)] 570122K->416289K(1008128K), 0.0061155 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.828: [GC (Allocation Failure) [PSYoungGen: 297205K->15360K(310784K)] 687895K->406049K(1010176K), 0.0019083 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.351: [GC (Allocation Failure) [PSYoungGen: 266491K->25600K(309760K)] 657180K->523809K(1009152K), 0.0153766 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
44.222: [GC (Allocation Failure) [PSYoungGen: 286993K->31744K(299008K)] 785202K->529953K(998400K), 0.0031861 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.678: [GC (Allocation Failure) [PSYoungGen: 262287K->35840K(299520K)] 760496K->545313K(998912K), 0.0033257 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.203: [GC (Allocation Failure) [PSYoungGen: 286707K->20480K(303616K)] 796180K->581153K(1003008K), 0.0050512 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
48.640: [GC (Allocation Failure) [PSYoungGen: 250864K->5120K(305664K)] 811537K->688673K(1005056K), 0.0312246 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
48.672: [Full GC (Ergonomics) [PSYoungGen: 5120K->0K(305664K)] [ParOldGen: 683553K->77329K(699392K)] 688673K->77329K(1005056K), [Metaspace: 2795K->2795K(1056768K)], 0.0077002 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
50.118: [GC (Allocation Failure) [PSYoungGen: 230461K->5120K(305664K)] 307790K->133649K(1005056K), 0.0047790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.541: [GC (Allocation Failure) [PSYoungGen: 220284K->5120K(306688K)] 348813K->184849K(1006080K), 0.0046578 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
52.976: [GC (Allocation Failure) [PSYoungGen: 235495K->6144K(305664K)] 415224K->242193K(1005056K), 0.0057302 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
55.715: [GC (Allocation Failure) [PSYoungGen: 226338K->35840K(297984K)] 462387K->271889K(997376K), 0.0025840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
