Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(15144364k free), swap 35500528k(7013528k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:ParallelGCThreads=12 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2.292: [GC (Allocation Failure) [PSYoungGen: 261366K->12056K(305664K)] 261366K->12064K(1005056K), 0.0040113 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.905: [GC (Allocation Failure) [PSYoungGen: 273194K->11024K(305664K)] 273202K->11040K(1005056K), 0.0024301 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.757: [GC (Allocation Failure) [PSYoungGen: 267128K->31488K(305664K)] 267144K->31504K(1005056K), 0.0044586 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.394: [GC (Allocation Failure) [PSYoungGen: 259414K->21296K(305664K)] 259430K->21320K(1005056K), 0.0050227 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
9.813: [GC (Allocation Failure) [PSYoungGen: 251750K->26352K(305664K)] 251774K->77576K(1005056K), 0.0171626 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
11.248: [GC (Allocation Failure) [PSYoungGen: 256805K->31448K(307200K)] 308029K->185072K(1006592K), 0.0338781 secs] [Times: user=0.03 sys=0.02, real=0.03 secs] 
12.801: [GC (Allocation Failure) [PSYoungGen: 294620K->5184K(279040K)] 448244K->210584K(978432K), 0.0169470 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
14.236: [GC (Allocation Failure) [PSYoungGen: 235847K->16480K(311296K)] 441247K->273088K(1010688K), 0.0184140 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
16.983: [GC (Allocation Failure) [PSYoungGen: 247107K->25696K(309760K)] 503715K->302784K(1009152K), 0.0083193 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
18.411: [GC (Allocation Failure) [PSYoungGen: 256327K->30720K(306688K)] 533415K->328312K(1006080K), 0.0080808 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
19.950: [GC (Allocation Failure) [PSYoungGen: 261283K->0K(268800K)] 558876K->348792K(968192K), 0.0171282 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
21.385: [GC (Allocation Failure) [PSYoungGen: 230566K->5120K(306176K)] 579358K->507512K(1005568K), 0.0395590 secs] [Times: user=0.02 sys=0.03, real=0.04 secs] 
22.845: [GC (Allocation Failure) [PSYoungGen: 235607K->6144K(306688K)] 737999K->564856K(1006080K), 0.0189690 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
24.283: [GC (Allocation Failure) [PSYoungGen: 211032K->10240K(308736K)] 769745K->620152K(1008128K), 0.0169156 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
24.300: [Full GC (Ergonomics) [PSYoungGen: 10240K->0K(308736K)] [ParOldGen: 609912K->61969K(699392K)] 620152K->61969K(1008128K), [Metaspace: 2779K->2779K(1056768K)], 0.0115219 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.730: [GC (Allocation Failure) [PSYoungGen: 230537K->15360K(307200K)] 292506K->128529K(1006592K), 0.0056781 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
28.478: [GC (Allocation Failure) [PSYoungGen: 262369K->25664K(308224K)] 375538K->138841K(1007616K), 0.0027996 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.898: [GC (Allocation Failure) [PSYoungGen: 256256K->25600K(296448K)] 369433K->195121K(995840K), 0.0072178 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.428: [GC (Allocation Failure) [PSYoungGen: 210118K->5120K(308736K)] 379639K->174641K(1008128K), 0.0008800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.845: [GC (Allocation Failure) [PSYoungGen: 235675K->6144K(308736K)] 405196K->226865K(1008128K), 0.0045208 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.264: [GC (Allocation Failure) [PSYoungGen: 236705K->11264K(311296K)] 457426K->289329K(1010688K), 0.0054935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.695: [GC (Allocation Failure) [PSYoungGen: 216288K->10240K(309248K)] 494354K->339505K(1008640K), 0.0054700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
