Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
48.285: [GC (Allocation Failure) [PSYoungGen: 229825K->35936K(262144K)] 896174K->702284K(2059776K), 0.0035728 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.600: [GC (Allocation Failure) [PSYoungGen: 255424K->35968K(262144K)] 921773K->753516K(2059776K), 0.0181554 secs] [Times: user=0.00 sys=0.03, real=0.02 secs] 
51.154: [GC (Allocation Failure) [PSYoungGen: 260575K->15360K(262144K)] 978124K->732924K(2059776K), 0.0116247 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
52.478: [GC (Allocation Failure) [PSYoungGen: 234847K->11264K(262144K)] 952412K->728828K(2059776K), 0.0041317 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
53.797: [GC (Allocation Failure) [PSYoungGen: 235856K->17408K(262144K)] 953421K->734972K(2059776K), 0.0033391 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.768: [GC (Allocation Failure) [PSYoungGen: 160086K->15360K(262144K)] 877650K->784124K(2059776K), 0.0313644 secs] [Times: user=0.05 sys=0.02, real=0.03 secs] 
57.109: [GC (Allocation Failure) [PSYoungGen: 193871K->35840K(262144K)] 962636K->830204K(2059776K), 0.0103327 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
58.555: [GC (Allocation Failure) [PSYoungGen: 229704K->20480K(262144K)] 1024068K->814844K(2059776K), 0.0037280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.865: [GC (Allocation Failure) [PSYoungGen: 229709K->15360K(262144K)] 1024074K->860924K(2059776K), 0.0189488 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
61.187: [GC (Allocation Failure) [PSYoungGen: 234835K->20480K(262144K)] 1080399K->968444K(2059776K), 0.0361561 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
62.746: [GC (Allocation Failure) [PSYoungGen: 239959K->15360K(262144K)] 1187923K->963324K(2059776K), 0.0033551 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.060: [GC (Allocation Failure) [PSYoungGen: 234841K->26624K(262144K)] 1182806K->974588K(2059776K), 0.0036263 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
65.375: [GC (Allocation Failure) [PSYoungGen: 246100K->26624K(262144K)] 1194064K->974588K(2059776K), 0.0030063 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
