Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(14112528k free), swap 38794768k(6528444k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:NewRatio=3 -XX:ParallelGCThreads=6 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=13 -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
1.403: [GC (Allocation Failure) [PSYoungGen: 131973K->5840K(244736K)] 131973K->57048K(1031168K), 0.0157700 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2.728: [GC (Allocation Failure) [PSYoungGen: 184310K->11936K(244736K)] 235518K->83632K(1031168K), 0.0152017 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
5.145: [GC (Allocation Failure) [PSYoungGen: 236526K->10912K(244736K)] 308222K->82608K(1031168K), 0.0017431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.453: [GC (Allocation Failure) [PSYoungGen: 235526K->16032K(244736K)] 307222K->97968K(1031168K), 0.0044992 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.311: [GC (Allocation Failure) [PSYoungGen: 242942K->5792K(244736K)] 324878K->87736K(1031168K), 0.0008564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.620: [GC (Allocation Failure) [PSYoungGen: 225300K->15976K(244736K)] 307244K->149120K(1031168K), 0.0156940 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
10.941: [GC (Allocation Failure) [PSYoungGen: 235494K->15992K(244736K)] 368638K->251536K(1031168K), 0.0332810 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
12.497: [GC (Allocation Failure) [PSYoungGen: 235516K->15992K(244736K)] 471060K->251536K(1031168K), 0.0014810 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.805: [GC (Allocation Failure) [PSYoungGen: 236998K->11864K(244736K)] 472542K->247416K(1031168K), 0.0014054 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.115: [GC (Allocation Failure) [PSYoungGen: 236497K->17048K(244736K)] 472049K->262840K(1031168K), 0.0045538 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.078: [GC (Allocation Failure) [PSYoungGen: 170010K->5752K(244736K)] 415802K->323224K(1031168K), 0.0311593 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
18.421: [GC (Allocation Failure) [PSYoungGen: 184311K->10872K(244736K)] 501783K->348832K(1031168K), 0.0158211 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
19.856: [GC (Allocation Failure) [PSYoungGen: 189415K->5752K(244736K)] 527375K->343712K(1031168K), 0.0015938 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.166: [GC (Allocation Failure) [PSYoungGen: 215023K->15960K(244736K)] 552983K->456320K(1031168K), 0.0322639 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
22.502: [GC (Allocation Failure) [PSYoungGen: 235479K->17016K(244736K)] 675839K->462496K(1031168K), 0.0025365 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.030: [GC (Allocation Failure) [PSYoungGen: 231421K->10336K(244736K)] 676901K->466660K(1031168K), 0.0040365 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.341: [GC (Allocation Failure) [PSYoungGen: 229864K->15488K(244736K)] 686189K->482052K(1031168K), 0.0043253 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.652: [GC (Allocation Failure) [PSYoungGen: 235019K->15456K(244736K)] 701583K->492276K(1031168K), 0.0050891 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
28.509: [GC (Allocation Failure) [PSYoungGen: 179629K->5216K(244736K)] 656450K->584444K(1031168K), 0.0198078 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
29.845: [GC (Allocation Failure) [PSYoungGen: 183774K->10336K(244736K)] 763003K->610052K(1031168K), 0.0156281 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.394: [GC (Allocation Failure) [PSYoungGen: 193998K->5184K(244736K)] 793715K->604900K(1031168K), 0.0016121 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.701: [GC (Allocation Failure) [PSYoungGen: 183735K->6208K(244736K)] 783451K->626404K(1031168K), 0.0157894 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
34.026: [GC (Allocation Failure) [PSYoungGen: 215484K->16480K(244736K)] 835680K->647940K(1031168K), 0.0044323 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
35.559: [GC (Allocation Failure) [PSYoungGen: 241122K->10304K(244736K)] 872582K->662268K(1031168K), 0.0154237 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
36.888: [GC (Allocation Failure) [PSYoungGen: 219591K->15392K(244736K)] 871556K->677596K(1031168K), 0.0045170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.199: [GC (Allocation Failure) [PSYoungGen: 234921K->15392K(244736K)] 897126K->703196K(1031168K), 0.0155905 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
39.959: [GC (Allocation Failure) [PSYoungGen: 214444K->5152K(244736K)] 902248K->744156K(1031168K), 0.0160109 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
39.975: [Full GC (Ergonomics) [PSYoungGen: 5152K->0K(244736K)] [ParOldGen: 739004K->56849K(786432K)] 744156K->56849K(1031168K), [Metaspace: 2793K->2793K(1056768K)], 0.0126346 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
41.300: [GC (Allocation Failure) [PSYoungGen: 178571K->5120K(244736K)] 235421K->184849K(1031168K), 0.0154785 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
43.827: [GC (Allocation Failure) [PSYoungGen: 224631K->6144K(244736K)] 404360K->185873K(1031168K), 0.0007912 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.132: [GC (Allocation Failure) [PSYoungGen: 230783K->11264K(244736K)] 410513K->201233K(1031168K), 0.0018171 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
46.879: [GC (Allocation Failure) [PSYoungGen: 235924K->10240K(244736K)] 425894K->200209K(1031168K), 0.0010954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.188: [GC (Allocation Failure) [PSYoungGen: 229779K->15360K(244736K)] 419748K->225809K(1031168K), 0.0030839 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.498: [GC (Allocation Failure) [PSYoungGen: 234898K->15360K(244736K)] 445347K->277009K(1031168K), 0.0051605 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
51.025: [GC (Allocation Failure) [PSYoungGen: 240017K->15360K(244736K)] 501666K->277009K(1031168K), 0.0014674 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.335: [GC (Allocation Failure) [PSYoungGen: 234897K->16384K(244736K)] 496546K->278033K(1031168K), 0.0013290 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.645: [GC (Allocation Failure) [PSYoungGen: 241026K->12288K(244736K)] 502675K->279057K(1031168K), 0.0015504 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.610: [GC (Allocation Failure) [PSYoungGen: 155015K->15360K(244736K)] 421785K->333329K(1031168K), 0.0052867 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
56.938: [GC (Allocation Failure) [PSYoungGen: 193921K->15360K(244736K)] 511890K->379409K(1031168K), 0.0039328 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
58.356: [GC (Allocation Failure) [PSYoungGen: 209273K->0K(244736K)] 573322K->384529K(1031168K), 0.0021316 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.663: [GC (Allocation Failure) [PSYoungGen: 209279K->15360K(244736K)] 593808K->451089K(1031168K), 0.0054534 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
60.976: [GC (Allocation Failure) [PSYoungGen: 234884K->15360K(244736K)] 670613K->558609K(1031168K), 0.0158147 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
62.524: [GC (Allocation Failure) [PSYoungGen: 234888K->15360K(244736K)] 778138K->558609K(1031168K), 0.0016429 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.828: [GC (Allocation Failure) [PSYoungGen: 234891K->16384K(244736K)] 778140K->569873K(1031168K), 0.0020302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.141: [GC (Allocation Failure) [PSYoungGen: 235909K->16384K(244736K)] 789399K->569873K(1031168K), 0.0015373 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.996: [GC (Allocation Failure) [PSYoungGen: 164233K->5120K(244736K)] 717723K->630289K(1031168K), 0.0057844 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
68.306: [GC (Allocation Failure) [PSYoungGen: 183683K->10240K(244736K)] 808852K->655889K(1031168K), 0.0026830 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
