Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(14412176k free), swap 38794768k(7260500k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:NewRatio=3 -XX:ParallelGCThreads=6 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=11 -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
1.396: [GC (Allocation Failure) [PSYoungGen: 131768K->5832K(242176K)] 131768K->57040K(1028608K), 0.0160553 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2.720: [GC (Allocation Failure) [PSYoungGen: 184206K->11896K(242176K)] 235414K->83584K(1028608K), 0.0156677 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
5.024: [GC (Allocation Failure) [PSYoungGen: 231269K->10928K(242176K)] 302957K->82616K(1028608K), 0.0020710 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.225: [GC (Allocation Failure) [PSYoungGen: 230324K->16032K(242176K)] 302012K->97960K(1028608K), 0.0040395 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.424: [GC (Allocation Failure) [PSYoungGen: 237672K->11928K(242176K)] 319600K->114344K(1028608K), 0.0157011 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
9.405: [GC (Allocation Failure) [PSYoungGen: 231337K->10840K(242176K)] 333753K->164456K(1028608K), 0.0160032 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
10.623: [GC (Allocation Failure) [PSYoungGen: 230259K->10888K(242176K)] 383875K->266904K(1028608K), 0.0318973 secs] [Times: user=0.00 sys=0.02, real=0.03 secs] 
12.289: [GC (Allocation Failure) [PSYoungGen: 230313K->5720K(242176K)] 486329K->261736K(1028608K), 0.0007954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.489: [GC (Allocation Failure) [PSYoungGen: 226594K->11848K(242176K)] 482610K->267872K(1028608K), 0.0014939 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.694: [GC (Allocation Failure) [PSYoungGen: 231263K->17016K(242176K)] 487287K->283280K(1028608K), 0.0045525 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.090: [GC (Allocation Failure) [PSYoungGen: 190359K->5752K(242176K)] 456623K->343696K(1028608K), 0.0178795 secs] [Times: user=0.02 sys=0.02, real=0.02 secs] 
18.410: [GC (Allocation Failure) [PSYoungGen: 184215K->10912K(242176K)] 522159K->369344K(1028608K), 0.0153091 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
19.847: [GC (Allocation Failure) [PSYoungGen: 189358K->5720K(242176K)] 547790K->364152K(1028608K), 0.0015230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.152: [GC (Allocation Failure) [PSYoungGen: 214893K->15960K(242176K)] 573325K->476792K(1028608K), 0.0307869 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
