Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(11707844k free), swap 40595968k(7114716k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:NewRatio=5 -XX:ParallelGCThreads=3 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2.297: [GC (Allocation Failure) [PSYoungGen: 261366K->11864K(305664K)] 261366K->11872K(2053632K), 0.0029463 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.914: [GC (Allocation Failure) [PSYoungGen: 273002K->10896K(305664K)] 273010K->10912K(2053632K), 0.0024163 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.761: [GC (Allocation Failure) [PSYoungGen: 267000K->31288K(305664K)] 267016K->31304K(2053632K), 0.0046119 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
8.393: [GC (Allocation Failure) [PSYoungGen: 259214K->21032K(305664K)] 259230K->21056K(2053632K), 0.0040967 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.808: [GC (Allocation Failure) [PSYoungGen: 251486K->26168K(305664K)] 251510K->77392K(2053632K), 0.0159043 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
11.246: [GC (Allocation Failure) [PSYoungGen: 256621K->31320K(305664K)] 307845K->184944K(2053632K), 0.0356068 secs] [Times: user=0.00 sys=0.00, real=0.04 secs] 
12.694: [GC (Allocation Failure) [PSYoungGen: 242997K->26168K(305664K)] 396621K->179800K(2053632K), 0.0024306 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.113: [GC (Allocation Failure) [PSYoungGen: 256603K->37480K(305664K)] 410235K->191112K(2053632K), 0.0029475 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.838: [GC (Allocation Failure) [PSYoungGen: 298633K->15976K(305664K)] 452265K->169608K(2053632K), 0.0015151 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.364: [GC (Allocation Failure) [PSYoungGen: 266899K->31336K(305664K)] 420531K->205448K(2053632K), 0.0087101 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
19.908: [GC (Allocation Failure) [PSYoungGen: 261784K->568K(305664K)] 435896K->225880K(2053632K), 0.0161898 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
21.343: [GC (Allocation Failure) [PSYoungGen: 231017K->5736K(305664K)] 456329K->384648K(2053632K), 0.0355221 secs] [Times: user=0.01 sys=0.00, real=0.04 secs] 
22.811: [GC (Allocation Failure) [PSYoungGen: 236186K->11880K(305664K)] 615098K->441992K(2053632K), 0.0167842 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
24.247: [GC (Allocation Failure) [PSYoungGen: 216731K->10792K(305664K)] 646843K->492112K(2053632K), 0.0189913 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
25.677: [GC (Allocation Failure) [PSYoungGen: 241240K->26216K(305664K)] 722560K->558736K(2053632K), 0.0183844 secs] [Times: user=0.02 sys=0.02, real=0.02 secs] 
28.423: [GC (Allocation Failure) [PSYoungGen: 273133K->25696K(305664K)] 805653K->558764K(2053632K), 0.0029470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.842: [GC (Allocation Failure) [PSYoungGen: 256140K->30752K(305664K)] 789208K->615036K(2053632K), 0.0175073 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
31.389: [GC (Allocation Failure) [PSYoungGen: 215118K->5152K(305664K)] 799403K->589436K(2053632K), 0.0014287 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.808: [GC (Allocation Failure) [PSYoungGen: 235594K->6176K(305664K)] 819878K->641668K(2053632K), 0.0164669 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
34.240: [GC (Allocation Failure) [PSYoungGen: 236622K->17472K(305664K)] 872114K->704164K(2053632K), 0.0164291 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
35.675: [GC (Allocation Failure) [PSYoungGen: 222320K->10272K(305664K)] 909012K->748164K(2053632K), 0.0172993 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
37.109: [GC (Allocation Failure) [PSYoungGen: 240718K->35872K(305664K)] 978610K->824972K(2053632K), 0.0168601 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
39.634: [GC (Allocation Failure) [PSYoungGen: 297040K->15392K(305664K)] 1086140K->804492K(2053632K), 0.0023318 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.273: [GC (Allocation Failure) [PSYoungGen: 276564K->30752K(305664K)] 1065665K->922252K(2053632K), 0.0336263 secs] [Times: user=0.00 sys=0.01, real=0.03 secs] 
44.146: [GC (Allocation Failure) [PSYoungGen: 291927K->31776K(305664K)] 1183427K->923276K(2053632K), 0.0043198 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.565: [GC (Allocation Failure) [PSYoungGen: 262233K->42048K(305664K)] 1153733K->938668K(2053632K), 0.0107281 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
47.107: [GC (Allocation Failure) [PSYoungGen: 292999K->20512K(305664K)] 1189620K->968332K(2053632K), 0.0505281 secs] [Times: user=0.00 sys=0.02, real=0.05 secs] 
48.569: [GC (Allocation Failure) [PSYoungGen: 250978K->25632K(305664K)] 1198799K->1075852K(2053632K), 0.0941176 secs] [Times: user=0.00 sys=0.08, real=0.09 secs] 
50.083: [GC (Allocation Failure) [PSYoungGen: 256093K->30784K(305664K)] 1306313K->1132204K(2053632K), 0.0687338 secs] [Times: user=0.00 sys=0.03, real=0.07 secs] 
51.581: [GC (Allocation Failure) [PSYoungGen: 245998K->5152K(305664K)] 1347418K->1157772K(2053632K), 0.0621526 secs] [Times: user=0.01 sys=0.00, real=0.06 secs] 
53.064: [GC (Allocation Failure) [PSYoungGen: 235517K->11264K(305664K)] 1388138K->1215092K(2053632K), 0.0821009 secs] [Times: user=0.03 sys=0.03, real=0.08 secs] 
55.884: [GC (Allocation Failure) [PSYoungGen: 231445K->35840K(305664K)] 1435273K->1239668K(2053632K), 0.0045972 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
57.306: [GC (Allocation Failure) [PSYoungGen: 266270K->40960K(305664K)] 1470099K->1265268K(2053632K), 0.0312081 secs] [Times: user=0.00 sys=0.02, real=0.03 secs] 
58.864: [GC (Allocation Failure) [PSYoungGen: 286766K->0K(305664K)] 1511075K->1326708K(2053632K), 0.0936979 secs] [Times: user=0.02 sys=0.06, real=0.09 secs] 
60.375: [GC (Allocation Failure) [PSYoungGen: 230450K->5120K(305664K)] 1557158K->1383028K(2053632K), 0.0783013 secs] [Times: user=0.00 sys=0.01, real=0.08 secs] 
61.870: [GC (Allocation Failure) [PSYoungGen: 235570K->10240K(305664K)] 1613479K->1541748K(2053632K), 0.1574972 secs] [Times: user=0.02 sys=0.17, real=0.16 secs] 
63.442: [GC (Allocation Failure) [PSYoungGen: 220211K->5120K(305664K)] 1751719K->1587828K(2053632K), 0.0624027 secs] [Times: user=0.00 sys=0.03, real=0.06 secs] 
