Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(12399976k free), swap 40595968k(7733996k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:NewRatio=6 -XX:ParallelGCThreads=3 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
1.395: [GC (Allocation Failure) [PSYoungGen: 131870K->5720K(262144K)] 131870K->56928K(2059776K), 0.0164795 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
2.720: [GC (Allocation Failure) [PSYoungGen: 184142K->32312K(262144K)] 235350K->83520K(2059776K), 0.0073039 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
5.120: [GC (Allocation Failure) [PSYoungGen: 256854K->10808K(262144K)] 308062K->62016K(2059776K), 0.0019869 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.428: [GC (Allocation Failure) [PSYoungGen: 235373K->26168K(262144K)] 286581K->77376K(2059776K), 0.0020042 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.628: [GC (Allocation Failure) [PSYoungGen: 247883K->36408K(262144K)] 299091K->97864K(2059776K), 0.0075504 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
9.590: [GC (Allocation Failure) [PSYoungGen: 260986K->15928K(262144K)] 322442K->128584K(2059776K), 0.0173720 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
10.919: [GC (Allocation Failure) [PSYoungGen: 235397K->15960K(262144K)] 348053K->231016K(2059776K), 0.0316541 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
12.477: [GC (Allocation Failure) [PSYoungGen: 235435K->15976K(262144K)] 450491K->231032K(2059776K), 0.0014984 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.786: [GC (Allocation Failure) [PSYoungGen: 236916K->11880K(262144K)] 451972K->226944K(2059776K), 0.0014615 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.096: [GC (Allocation Failure) [PSYoungGen: 236464K->27240K(262144K)] 451528K->242304K(2059776K), 0.0024181 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.057: [GC (Allocation Failure) [PSYoungGen: 180152K->26216K(262144K)] 395216K->292480K(2059776K), 0.0158003 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
18.384: [GC (Allocation Failure) [PSYoungGen: 204726K->31320K(262144K)] 470990K->318064K(2059776K), 0.0153806 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
19.817: [GC (Allocation Failure) [PSYoungGen: 209814K->5704K(262144K)] 496558K->292448K(2059776K), 0.0013751 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.128: [GC (Allocation Failure) [PSYoungGen: 214925K->15976K(262144K)] 501669K->405120K(2059776K), 0.0312286 secs] [Times: user=0.00 sys=0.00, real=0.03 secs] 
22.476: [GC (Allocation Failure) [PSYoungGen: 235445K->22120K(262144K)] 624589K->411264K(2059776K), 0.0023457 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.002: [GC (Allocation Failure) [PSYoungGen: 236475K->20576K(262144K)] 625619K->410268K(2059776K), 0.0024069 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.312: [GC (Allocation Failure) [PSYoungGen: 240055K->25696K(262144K)] 629747K->415388K(2059776K), 0.0022515 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.617: [GC (Allocation Failure) [PSYoungGen: 245177K->35904K(262144K)] 634870K->425612K(2059776K), 0.0031425 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.472: [GC (Allocation Failure) [PSYoungGen: 200017K->5216K(262144K)] 589725K->497332K(2059776K), 0.0192084 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
29.798: [GC (Allocation Failure) [PSYoungGen: 183725K->30784K(262144K)] 675841K->522908K(2059776K), 0.0028963 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.320: [GC (Allocation Failure) [PSYoungGen: 214397K->5184K(262144K)] 706521K->497308K(2059776K), 0.0013227 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.629: [GC (Allocation Failure) [PSYoungGen: 183686K->26688K(262144K)] 675810K->518812K(2059776K), 0.0026350 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.938: [GC (Allocation Failure) [PSYoungGen: 235914K->27712K(262144K)] 728039K->519836K(2059776K), 0.0025650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.457: [GC (Allocation Failure) [PSYoungGen: 252305K->30752K(262144K)] 744429K->522884K(2059776K), 0.0031909 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.767: [GC (Allocation Failure) [PSYoungGen: 239990K->25632K(262144K)] 732122K->517764K(2059776K), 0.0023441 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.077: [GC (Allocation Failure) [PSYoungGen: 245112K->35872K(262144K)] 737244K->543364K(2059776K), 0.0052749 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.823: [GC (Allocation Failure) [PSYoungGen: 234874K->5152K(262144K)] 742366K->563844K(2059776K), 0.0510379 secs] [Times: user=0.00 sys=0.02, real=0.05 secs] 
41.185: [GC (Allocation Failure) [PSYoungGen: 183674K->30784K(262144K)] 742366K->691876K(2059776K), 0.1259574 secs] [Times: user=0.05 sys=0.03, real=0.13 secs] 
43.811: [GC (Allocation Failure) [PSYoungGen: 250245K->6176K(262144K)] 911338K->667268K(2059776K), 0.0016560 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.124: [GC (Allocation Failure) [PSYoungGen: 230766K->21568K(262144K)] 891858K->682660K(2059776K), 0.0021970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
46.865: [GC (Allocation Failure) [PSYoungGen: 246179K->10272K(262144K)] 907271K->671364K(2059776K), 0.0017686 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.174: [GC (Allocation Failure) [PSYoungGen: 229761K->35904K(262144K)] 890854K->696996K(2059776K), 0.0031745 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.482: [GC (Allocation Failure) [PSYoungGen: 255392K->35904K(262144K)] 916485K->748196K(2059776K), 0.0338929 secs] [Times: user=0.00 sys=0.02, real=0.03 secs] 
51.045: [GC (Allocation Failure) [PSYoungGen: 260511K->15360K(262144K)] 972804K->727660K(2059776K), 0.0024561 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.352: [GC (Allocation Failure) [PSYoungGen: 234847K->11264K(262144K)] 947148K->723564K(2059776K), 0.0022375 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.655: [GC (Allocation Failure) [PSYoungGen: 235856K->17408K(262144K)] 948157K->729708K(2059776K), 0.0022597 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.618: [GC (Allocation Failure) [PSYoungGen: 160086K->15360K(262144K)] 872386K->778860K(2059776K), 0.1026004 secs] [Times: user=0.00 sys=0.01, real=0.10 secs] 
57.036: [GC (Allocation Failure) [PSYoungGen: 193871K->30720K(262144K)] 957372K->824940K(2059776K), 0.0313407 secs] [Times: user=0.00 sys=0.00, real=0.03 secs] 
58.487: [GC (Allocation Failure) [PSYoungGen: 224584K->20480K(262144K)] 1018804K->814700K(2059776K), 0.0025947 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.797: [GC (Allocation Failure) [PSYoungGen: 229709K->15360K(262144K)] 1023930K->860780K(2059776K), 0.0502844 secs] [Times: user=0.00 sys=0.02, real=0.05 secs] 
61.153: [GC (Allocation Failure) [PSYoungGen: 234835K->20480K(262144K)] 1080255K->968300K(2059776K), 0.1595719 secs] [Times: user=0.03 sys=0.05, real=0.16 secs] 
62.840: [GC (Allocation Failure) [PSYoungGen: 239959K->15360K(262144K)] 1187779K->963180K(2059776K), 0.0022603 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.151: [GC (Allocation Failure) [PSYoungGen: 234841K->26624K(262144K)] 1182662K->974444K(2059776K), 0.0030270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.457: [GC (Allocation Failure) [PSYoungGen: 246100K->26624K(262144K)] 1193920K->974444K(2059776K), 0.0026943 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.310: [GC (Allocation Failure) [PSYoungGen: 174423K->25600K(262144K)] 1122244K->1024620K(2059776K), 0.0634242 secs] [Times: user=0.05 sys=0.00, real=0.06 secs] 
68.685: [GC (Allocation Failure) [PSYoungGen: 204113K->30720K(262144K)] 1203134K->1050220K(2059776K), 0.0160953 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
70.120: [GC (Allocation Failure) [PSYoungGen: 209216K->5120K(262144K)] 1228716K->1024620K(2059776K), 0.0025401 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.429: [GC (Allocation Failure) [PSYoungGen: 214343K->15360K(262144K)] 1233843K->1137260K(2059776K), 0.1109521 secs] [Times: user=0.02 sys=0.06, real=0.11 secs] 
72.843: [GC (Allocation Failure) [PSYoungGen: 234830K->21504K(262144K)] 1356731K->1143404K(2059776K), 0.0031071 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
74.377: [GC (Allocation Failure) [PSYoungGen: 235860K->20480K(262144K)] 1357760K->1142380K(2059776K), 0.0031365 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
75.685: [GC (Allocation Failure) [PSYoungGen: 239959K->25600K(262144K)] 1361860K->1147500K(2059776K), 0.0034187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.994: [GC (Allocation Failure) [PSYoungGen: 245082K->35840K(262144K)] 1366982K->1157740K(2059776K), 0.0037366 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.848: [GC (Allocation Failure) [PSYoungGen: 199003K->5120K(262144K)] 1320904K->1229420K(2059776K), 0.0839900 secs] [Times: user=0.00 sys=0.08, real=0.08 secs] 
80.238: [GC (Allocation Failure) [PSYoungGen: 183638K->30720K(262144K)] 1407939K->1255020K(2059776K), 0.0038676 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.768: [GC (Allocation Failure) [PSYoungGen: 214339K->5120K(262144K)] 1438640K->1229420K(2059776K), 0.0020397 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.068: [GC (Allocation Failure) [PSYoungGen: 183625K->26624K(262144K)] 1407926K->1250924K(2059776K), 0.0046356 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.377: [GC (Allocation Failure) [PSYoungGen: 235853K->27648K(262144K)] 1460153K->1251948K(2059776K), 0.0033134 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
