Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(14445752k free), swap 38794768k(6932220k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:NewRatio=7 -XX:ParallelGCThreads=6 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=1 -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
0.941: [GC (Allocation Failure) [PSYoungGen: 34529K->10960K(87552K)] 34529K->10968K(1005056K), 0.0026586 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.746: [GC (Allocation Failure) [PSYoungGen: 54826K->7808K(87552K)] 208434K->161424K(1005056K), 0.0023382 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.511: [GC (Allocation Failure) [PSYoungGen: 49634K->22160K(87552K)] 203250K->175776K(1005056K), 0.0026065 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.432: [GC (Allocation Failure) [PSYoungGen: 66033K->18088K(87552K)] 373249K->325304K(1005056K), 0.0024230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.845: [GC (Allocation Failure) [PSYoungGen: 60942K->10912K(87552K)] 368158K->318128K(1005056K), 0.0013114 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
5.499: [GC (Allocation Failure) [PSYoungGen: 52739K->26200K(87552K)] 359956K->333416K(1005056K), 0.0027403 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.532: [GC (Allocation Failure) [PSYoungGen: 70074K->26256K(87552K)] 530890K->487072K(1005056K), 0.0030531 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.968: [GC (Allocation Failure) [PSYoungGen: 57847K->31352K(87552K)] 518663K->492168K(1005056K), 0.0033671 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
8.436: [GC (Allocation Failure) [PSYoungGen: 70546K->5704K(87552K)] 684962K->620128K(1005056K), 0.0016690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.461: [GC (Allocation Failure) [PSYoungGen: 49583K->10880K(87552K)] 817607K->778904K(1005056K), 0.0024748 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.896: [GC (Allocation Failure) [PSYoungGen: 42474K->15960K(87552K)] 810498K->783984K(1005056K), 0.0019436 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.132: [GC (Allocation Failure) [PSYoungGen: 37308K->5752K(87552K)] 856532K->824976K(1005056K), 0.0028011 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.135: [GC (Allocation Failure) [PSYoungGen: 5752K->5720K(87552K)] 824976K->824944K(1005056K), 0.0020434 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.137: [Full GC (Allocation Failure) [PSYoungGen: 5720K->0K(87552K)] [ParOldGen: 819224K->108048K(917504K)] 824944K->108048K(1005056K), [Metaspace: 2761K->2761K(1056768K)], 0.0175495 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
