Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
51.568: [GC (Allocation Failure) [PSYoungGen: 220284K->5120K(306688K)] 348813K->184849K(1006080K), 0.0045170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.988: [GC (Allocation Failure) [PSYoungGen: 235495K->6144K(305664K)] 415224K->242193K(1005056K), 0.0052223 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.718: [GC (Allocation Failure) [PSYoungGen: 226338K->35840K(297984K)] 462387K->271889K(997376K), 0.0025218 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
57.133: [GC (Allocation Failure) [PSYoungGen: 266145K->46080K(296448K)] 502195K->297489K(995840K), 0.0050957 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
58.661: [GC (Allocation Failure) [PSYoungGen: 291642K->0K(286208K)] 543052K->353809K(985600K), 0.0062825 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
60.082: [GC (Allocation Failure) [PSYoungGen: 230006K->51200K(285696K)] 583815K->410129K(985088K), 0.0049164 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
61.501: [GC (Allocation Failure) [PSYoungGen: 281098K->56320K(262656K)] 640028K->517649K(962048K), 0.0161070 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
62.833: [GC (Allocation Failure) [PSYoungGen: 213965K->25600K(276992K)] 675294K->486929K(976384K), 0.0026352 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.040: [GC (Allocation Failure) [PSYoungGen: 224205K->21504K(285184K)] 685534K->487953K(984576K), 0.0027461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.242: [GC (Allocation Failure) [PSYoungGen: 235717K->10240K(281600K)] 702167K->487953K(980992K), 0.0020901 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.208: [GC (Allocation Failure) [PSYoungGen: 163018K->56320K(270336K)] 640731K->554513K(969728K), 0.0055538 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
68.524: [GC (Allocation Failure) [PSYoungGen: 234502K->25600K(278528K)] 732696K->528913K(977920K), 0.0027382 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.944: [GC (Allocation Failure) [PSYoungGen: 203768K->5120K(283136K)] 707082K->508433K(982528K), 0.0015919 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.254: [GC (Allocation Failure) [PSYoungGen: 214187K->15360K(282624K)] 717501K->621073K(982016K), 0.0148007 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
71.269: [Full GC (Ergonomics) [PSYoungGen: 15360K->0K(282624K)] [ParOldGen: 605713K->118289K(699392K)] 621073K->118289K(982016K), [Metaspace: 2796K->2796K(1056768K)], 0.0100683 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
72.486: [GC (Allocation Failure) [PSYoungGen: 209073K->11264K(287744K)] 327363K->129553K(987136K), 0.0011736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
74.014: [GC (Allocation Failure) [PSYoungGen: 225598K->20480K(285696K)] 343887K->138769K(985088K), 0.0016100 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
75.319: [GC (Allocation Failure) [PSYoungGen: 239941K->10240K(292864K)] 358231K->138769K(992256K), 0.0017469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.739: [GC (Allocation Failure) [PSYoungGen: 240159K->20480K(291328K)] 368688K->154129K(990720K), 0.0024597 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.588: [GC (Allocation Failure) [PSYoungGen: 183842K->51200K(280064K)] 317491K->241169K(979456K), 0.0064099 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
79.921: [GC (Allocation Failure) [PSYoungGen: 229764K->25600K(288256K)] 419734K->215569K(987648K), 0.0029216 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.450: [GC (Allocation Failure) [PSYoungGen: 209266K->5120K(291328K)] 399236K->195089K(990720K), 0.0008061 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.867: [GC (Allocation Failure) [PSYoungGen: 234994K->57344K(286208K)] 424964K->247313K(985600K), 0.0054442 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
84.195: [GC (Allocation Failure) [PSYoungGen: 235925K->31744K(275968K)] 425895K->227857K(975360K), 0.0027749 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.613: [GC (Allocation Failure) [PSYoungGen: 235724K->30720K(283648K)] 431838K->226833K(983040K), 0.0026101 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.926: [GC (Allocation Failure) [PSYoungGen: 239825K->15360K(287744K)] 435939K->221713K(987136K), 0.0022097 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.236: [GC (Allocation Failure) [PSYoungGen: 234840K->35840K(286208K)] 441194K->247313K(985600K), 0.0032392 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.983: [GC (Allocation Failure) [PSYoungGen: 234842K->56320K(272896K)] 446316K->267793K(972288K), 0.0045353 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.294: [GC (Allocation Failure) [PSYoungGen: 234569K->25600K(280064K)] 446042K->344593K(979456K), 0.0156575 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
93.489: [GC (Allocation Failure) [PSYoungGen: 233584K->6144K(283136K)] 552577K->325137K(982528K), 0.0010241 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.577: [GC (Allocation Failure) [PSYoungGen: 220308K->11264K(283136K)] 539301K->331281K(982528K), 0.0014844 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.661: [GC (Allocation Failure) [PSYoungGen: 138422K->61440K(265728K)] 458439K->396817K(965120K), 0.0054886 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
97.421: [GC (Allocation Failure) [PSYoungGen: 260975K->21504K(274944K)] 698752K->459281K(974336K), 0.0024242 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.820: [GC (Allocation Failure) [PSYoungGen: 220037K->30720K(281600K)] 760215K->642577K(980992K), 0.0095792 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
99.829: [Full GC (Ergonomics) [PSYoungGen: 30720K->0K(281600K)] [ParOldGen: 611857K->102929K(699392K)] 642577K->102929K(980992K), [Metaspace: 2796K->2796K(1056768K)], 0.0133535 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
101.142: [GC (Allocation Failure) [PSYoungGen: 193620K->15360K(278016K)] 296550K->118289K(977408K), 0.0013157 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
102.331: [GC (Allocation Failure) [PSYoungGen: 224318K->11264K(284160K)] 327248K->119313K(983552K), 0.0017689 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
103.414: [GC (Allocation Failure) [PSYoungGen: 225482K->6144K(283136K)] 333531K->120337K(982528K), 0.0011782 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.597: [GC (Allocation Failure) [PSYoungGen: 158928K->61440K(265216K)] 273122K->180753K(964608K), 0.0051937 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
106.912: [GC (Allocation Failure) [PSYoungGen: 239479K->46080K(247296K)] 358792K->175633K(946688K), 0.0035526 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.324: [GC (Allocation Failure) [PSYoungGen: 239475K->20480K(275968K)] 369028K->150033K(975360K), 0.0033506 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.521: [GC (Allocation Failure) [PSYoungGen: 218981K->66560K(262656K)] 348535K->196113K(962048K), 0.0067829 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
110.287: [GC (Allocation Failure) [PSYoungGen: 259865K->5120K(266752K)] 389419K->293393K(966144K), 0.0107548 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
112.591: [GC (Allocation Failure) [PSYoungGen: 177726K->25600K(266752K)] 568399K->416273K(966144K), 0.0024666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
113.577: [GC (Allocation Failure) [PSYoungGen: 208460K->6144K(272384K)] 599133K->401937K(971776K), 0.0013534 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
116.643: [GC (Allocation Failure) [PSYoungGen: 199438K->15360K(271360K)] 697631K->513553K(970752K), 0.0016714 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
117.410: [GC (Allocation Failure) [PSYoungGen: 208666K->25600K(280064K)] 706860K->528913K(979456K), 0.0035740 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.389: [GC (Allocation Failure) [PSYoungGen: 147456K->56320K(258560K)] 650770K->631313K(957952K), 0.0079842 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
120.585: [Full GC (Ergonomics) [PSYoungGen: 255895K->0K(258560K)] [ParOldGen: 677393K->108049K(699392K)] 933289K->108049K(957952K), [Metaspace: 2796K->2796K(1056768K)], 0.0117917 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
122.564: [GC (Allocation Failure) [PSYoungGen: 178086K->31744K(276480K)] 388536K->242193K(975872K), 0.0025031 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
123.869: [GC (Allocation Failure) [PSYoungGen: 214929K->20480K(272896K)] 425379K->230929K(972288K), 0.0017770 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.850: [GC (Allocation Failure) [PSYoungGen: 219017K->10240K(280576K)] 429466K->230929K(979968K), 0.0018302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.832: [GC (Allocation Failure) [PSYoungGen: 219226K->11264K(279552K)] 439915K->237073K(978944K), 0.0017782 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
128.339: [GC (Allocation Failure) [PSYoungGen: 204887K->56320K(267776K)] 430696K->333329K(967168K), 0.0071691 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
129.667: [GC (Allocation Failure) [PSYoungGen: 234376K->25600K(274944K)] 511385K->307729K(974336K), 0.0026419 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
131.847: [GC (Allocation Failure) [PSYoungGen: 225142K->6144K(279552K)] 609671K->390673K(978944K), 0.0010847 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
132.611: [GC (Allocation Failure) [PSYoungGen: 117814K->56320K(261632K)] 502343K->441873K(961024K), 0.0049634 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
133.935: [GC (Allocation Failure) [PSYoungGen: 234458K->31744K(275968K)] 620011K->422417K(975360K), 0.0030018 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
135.242: [GC (Allocation Failure) [PSYoungGen: 214871K->20480K(272384K)] 605545K->411153K(971776K), 0.0021128 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
136.222: [GC (Allocation Failure) [PSYoungGen: 218973K->10240K(280064K)] 609646K->411153K(979456K), 0.0019143 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
137.202: [GC (Allocation Failure) [PSYoungGen: 219190K->21504K(279040K)] 620103K->427537K(978432K), 0.0026185 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
139.600: [GC (Allocation Failure) [PSYoungGen: 209976K->25600K(287744K)] 616009K->431633K(987136K), 0.0027187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
140.911: [GC (Allocation Failure) [PSYoungGen: 234795K->15360K(283648K)] 640828K->528913K(983040K), 0.0157551 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
143.107: [GC (Allocation Failure) [PSYoungGen: 234779K->6144K(289792K)] 748333K->519697K(989184K), 0.0013989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
144.531: [GC (Allocation Failure) [PSYoungGen: 235961K->20480K(289280K)] 749515K->535057K(988672K), 0.0020734 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
146.498: [GC (Allocation Failure) [PSYoungGen: 250315K->5120K(293376K)] 764893K->519697K(992768K), 0.0015248 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
147.922: [GC (Allocation Failure) [PSYoungGen: 235094K->35840K(273408K)] 749672K->550417K(972800K), 0.0040709 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
149.340: [GC (Allocation Failure) [PSYoungGen: 265812K->15360K(293376K)] 780389K->606737K(992768K), 0.0067870 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
150.867: [GC (Allocation Failure) [PSYoungGen: 240179K->15360K(291328K)] 831557K->606737K(990720K), 0.0019373 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
152.282: [GC (Allocation Failure) [PSYoungGen: 245298K->16384K(297984K)] 836676K->612881K(997376K), 0.0022517 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
154.693: [GC (Allocation Failure) [PSYoungGen: 256729K->10240K(295936K)] 853226K->606737K(995328K), 0.0018702 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
156.332: [GC (Allocation Failure) [PSYoungGen: 250589K->20480K(302080K)] 847087K->622097K(1001472K), 0.0024557 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
158.082: [GC (Allocation Failure) [PSYoungGen: 255871K->20480K(299520K)] 857489K->622097K(998912K), 0.0025989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
159.507: [GC (Allocation Failure) [PSYoungGen: 250749K->25600K(304640K)] 852367K->678417K(1004032K), 0.0063648 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
159.514: [Full GC (Ergonomics) [PSYoungGen: 25600K->0K(304640K)] [ParOldGen: 652817K->77329K(699392K)] 678417K->77329K(1004032K), [Metaspace: 2796K->2796K(1056768K)], 0.0104368 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
160.945: [GC (Allocation Failure) [PSYoungGen: 230419K->25600K(304640K)] 307748K->205329K(1004032K), 0.0162375 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
162.381: [GC (Allocation Failure) [PSYoungGen: 235520K->25600K(305664K)] 415250K->205329K(1005056K), 0.0020709 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
163.802: [GC (Allocation Failure) [PSYoungGen: 256032K->31744K(293888K)] 435762K->216593K(993280K), 0.0026937 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
166.533: [GC (Allocation Failure) [PSYoungGen: 292892K->15360K(305152K)] 477741K->200209K(1004544K), 0.0014244 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
168.062: [GC (Allocation Failure) [PSYoungGen: 266245K->25600K(304128K)] 451095K->236049K(1003520K), 0.0051868 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
169.588: [GC (Allocation Failure) [PSYoungGen: 256010K->0K(302592K)] 466459K->261649K(1001984K), 0.0045773 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
171.002: [GC (Allocation Failure) [PSYoungGen: 230390K->5120K(304128K)] 492040K->420369K(1003520K), 0.0161562 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
172.438: [GC (Allocation Failure) [PSYoungGen: 235511K->6144K(304640K)] 650761K->477713K(1004032K), 0.0049662 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
173.857: [GC (Allocation Failure) [PSYoungGen: 210946K->10240K(304128K)] 682515K->533009K(1003520K), 0.0051695 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
175.294: [GC (Allocation Failure) [PSYoungGen: 240639K->15360K(308736K)] 763408K->599569K(1008128K), 0.0053143 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
175.300: [Full GC (Ergonomics) [PSYoungGen: 15360K->0K(308736K)] [ParOldGen: 584209K->77329K(699392K)] 599569K->77329K(1008128K), [Metaspace: 2796K->2796K(1056768K)], 0.0074630 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
178.046: [GC (Allocation Failure) [PSYoungGen: 245881K->25600K(306176K)] 323211K->102929K(1005568K), 0.0026993 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
179.464: [GC (Allocation Failure) [PSYoungGen: 256107K->25600K(306688K)] 333437K->159249K(1006080K), 0.0086113 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
181.007: [GC (Allocation Failure) [PSYoungGen: 210022K->5120K(307200K)] 343671K->138769K(1006592K), 0.0007127 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
182.427: [GC (Allocation Failure) [PSYoungGen: 235619K->6144K(307712K)] 369268K->190993K(1007104K), 0.0044112 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
183.866: [GC (Allocation Failure) [PSYoungGen: 236657K->11264K(307200K)] 421507K->253457K(1006592K), 0.0062013 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
185.298: [GC (Allocation Failure) [PSYoungGen: 216180K->10240K(311296K)] 458373K->303633K(1010688K), 0.0048075 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
186.738: [GC (Allocation Failure) [PSYoungGen: 240875K->25600K(297984K)] 534269K->380433K(997376K), 0.0073253 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
189.370: [GC (Allocation Failure) [PSYoungGen: 297197K->15360K(311808K)] 652030K->370193K(1011200K), 0.0016974 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
190.900: [GC (Allocation Failure) [PSYoungGen: 266482K->25600K(309248K)] 621315K->487953K(1008640K), 0.0153000 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
193.757: [GC (Allocation Failure) [PSYoungGen: 286963K->31776K(303104K)] 749317K->494129K(1002496K), 0.0028679 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
195.177: [GC (Allocation Failure) [PSYoungGen: 262269K->35872K(293888K)] 724623K->509497K(993280K), 0.0036151 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
196.704: [GC (Allocation Failure) [PSYoungGen: 286729K->20480K(305152K)] 760355K->545313K(1004544K), 0.0052987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
198.140: [GC (Allocation Failure) [PSYoungGen: 250874K->5120K(302592K)] 775708K->652833K(1001984K), 0.0079040 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
