Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(14337636k free), swap 36670664k(7303964k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:NewRatio=1 -XX:ParallelGCThreads=6 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=1 -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2.513: [GC (Allocation Failure) [PSYoungGen: 172892K->22168K(349696K)] 275292K->124576K(873984K), 0.0044039 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.375: [GC (Allocation Failure) [PSYoungGen: 189510K->15944K(349696K)] 394318K->220760K(873984K), 0.0042399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.043: [GC (Allocation Failure) [PSYoungGen: 174797K->62056K(349696K)] 482013K->369280K(873984K), 0.0158738 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
8.369: [GC (Allocation Failure) [PSYoungGen: 234518K->5720K(349696K)] 541742K->312944K(873984K), 0.0010142 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.927: [GC (Allocation Failure) [PSYoungGen: 152572K->77368K(349696K)] 562196K->486992K(873984K), 0.0064593 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
10.708: [GC (Allocation Failure) [PSYoungGen: 249823K->164488K(349696K)] 659447K->574112K(873984K), 0.0330824 secs] [Times: user=0.00 sys=0.03, real=0.03 secs] 
12.840: [Full GC (Ergonomics) [PSYoungGen: 327834K->0K(349696K)] [ParOldGen: 512024K->26129K(524288K)] 839858K->26129K(873984K), [Metaspace: 2763K->2763K(1056768K)], 0.0132704 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
13.621: [GC (Allocation Failure) [PSYoungGen: 172452K->6144K(349696K)] 198581K->32273K(873984K), 0.0009103 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.352: [GC (Allocation Failure) [PSYoungGen: 178582K->10240K(349696K)] 307111K->138769K(873984K), 0.0009589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.427: [GC (Allocation Failure) [PSYoungGen: 177567K->40960K(349696K)] 408496K->271889K(873984K), 0.0028928 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.934: [GC (Allocation Failure) [PSYoungGen: 214436K->10240K(349696K)] 650165K->445969K(873984K), 0.0009827 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.479: [GC (Allocation Failure) [PSYoungGen: 111015K->56320K(349696K)] 546744K->492049K(873984K), 0.0049200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.679: [GC (Allocation Failure) [PSYoungGen: 213413K->21504K(349696K)] 649142K->457233K(873984K), 0.0018792 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.896: [GC (Allocation Failure) [PSYoungGen: 96652K->62464K(349696K)] 532382K->498193K(873984K), 0.0051286 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
24.210: [GC (Allocation Failure) [PSYoungGen: 214413K->30720K(349696K)] 650142K->466449K(873984K), 0.0026175 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.974: [GC (Allocation Failure) [PSYoungGen: 203132K->20480K(349696K)] 638861K->456209K(873984K), 0.0017640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.738: [GC (Allocation Failure) [PSYoungGen: 131460K->76800K(349696K)] 567189K->512529K(873984K), 0.0057037 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
26.955: [GC (Allocation Failure) [PSYoungGen: 233859K->40960K(349696K)] 669588K->476689K(873984K), 0.0028764 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.593: [GC (Allocation Failure) [PSYoungGen: 183387K->107552K(349696K)] 619116K->543289K(873984K), 0.0056909 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
29.810: [GC (Allocation Failure) [PSYoungGen: 264600K->71744K(349696K)] 700337K->507481K(873984K), 0.0053626 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
30.028: [GC (Allocation Failure) [PSYoungGen: 146864K->112704K(349696K)] 582601K->548441K(873984K), 0.0154370 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.465: [GC (Allocation Failure) [PSYoungGen: 244144K->5184K(349696K)] 679881K->440921K(873984K), 0.0011665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.664: [GC (Allocation Failure) [PSYoungGen: 162213K->16512K(349696K)] 597951K->452249K(873984K), 0.0015448 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.884: [GC (Allocation Failure) [PSYoungGen: 91636K->57440K(349696K)] 527373K->493177K(873984K), 0.0045998 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.083: [GC (Allocation Failure) [PSYoungGen: 214484K->27712K(349696K)] 650221K->463449K(873984K), 0.0023176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.302: [GC (Allocation Failure) [PSYoungGen: 102829K->68672K(349696K)] 538566K->504409K(873984K), 0.0055252 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
35.610: [GC (Allocation Failure) [PSYoungGen: 220589K->30784K(349696K)] 656326K->466521K(873984K), 0.0025775 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.370: [GC (Allocation Failure) [PSYoungGen: 203176K->20544K(349696K)] 638913K->456281K(873984K), 0.0017983 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
37.139: [GC (Allocation Failure) [PSYoungGen: 131511K->87104K(349696K)] 567248K->522841K(873984K), 0.0064071 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
38.342: [GC (Allocation Failure) [PSYoungGen: 244155K->51232K(349696K)] 679892K->486969K(873984K), 0.0042107 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.870: [GC (Allocation Failure) [PSYoungGen: 187794K->25696K(349696K)] 623531K->461433K(873984K), 0.0022070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.633: [GC (Allocation Failure) [PSYoungGen: 198106K->112768K(349696K)] 633843K->548505K(873984K), 0.0152359 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
41.413: [GC (Allocation Failure) [PSYoungGen: 223732K->163904K(349696K)] 659469K->599641K(873984K), 0.0158010 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
43.836: [GC (Allocation Failure) [PSYoungGen: 332217K->6144K(349696K)] 767954K->441897K(873984K), 0.0018804 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
44.274: [GC (Allocation Failure) [PSYoungGen: 101746K->62464K(349696K)] 537499K->498217K(873984K), 0.0050669 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.476: [GC (Allocation Failure) [PSYoungGen: 219522K->36864K(349696K)] 655276K->472617K(873984K), 0.0025620 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.694: [GC (Allocation Failure) [PSYoungGen: 111991K->77824K(349696K)] 547744K->513577K(873984K), 0.0059125 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
47.019: [GC (Allocation Failure) [PSYoungGen: 224631K->40960K(349696K)] 660384K->476713K(873984K), 0.0024883 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
47.782: [GC (Allocation Failure) [PSYoungGen: 213357K->30720K(349696K)] 649110K->466473K(873984K), 0.0023761 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.545: [GC (Allocation Failure) [PSYoungGen: 141690K->128000K(349696K)] 577443K->563753K(873984K), 0.0160178 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
49.759: [GC (Allocation Failure) [PSYoungGen: 285053K->92160K(349696K)] 720806K->527913K(873984K), 0.0063442 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
49.978: [GC (Allocation Failure) [PSYoungGen: 167283K->133120K(349696K)] 603036K->568873K(873984K), 0.0152183 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
51.301: [GC (Allocation Failure) [PSYoungGen: 295283K->25600K(349696K)] 731036K->461353K(873984K), 0.0022110 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
52.062: [GC (Allocation Failure) [PSYoungGen: 197997K->11264K(349696K)] 633751K->447017K(873984K), 0.0013300 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.832: [GC (Allocation Failure) [PSYoungGen: 122220K->62464K(349696K)] 557973K->498217K(873984K), 0.0049326 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
55.134: [GC (Allocation Failure) [PSYoungGen: 234868K->10240K(349696K)] 670621K->445993K(873984K), 0.0012047 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.681: [GC (Allocation Failure) [PSYoungGen: 110959K->66560K(349696K)] 546712K->502313K(873984K), 0.0053370 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
56.899: [GC (Allocation Failure) [PSYoungGen: 223617K->30720K(349696K)] 659370K->466473K(873984K), 0.0022511 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
57.118: [GC (Allocation Failure) [PSYoungGen: 105846K->92160K(349696K)] 541599K->527913K(873984K), 0.0064792 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
58.440: [GC (Allocation Failure) [PSYoungGen: 233846K->20480K(349696K)] 669599K->456233K(873984K), 0.0021887 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.206: [GC (Allocation Failure) [PSYoungGen: 192875K->56320K(349696K)] 628629K->492073K(873984K), 0.0046944 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
59.967: [GC (Allocation Failure) [PSYoungGen: 167289K->107520K(349696K)] 603042K->543273K(873984K), 0.0161033 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
61.184: [GC (Allocation Failure) [PSYoungGen: 264572K->174080K(349696K)] 700325K->609833K(873984K), 0.0156787 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
61.418: [GC (Allocation Failure) --[PSYoungGen: 249202K->249202K(349696K)] 684956K->684956K(873984K), 0.0152905 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
61.433: [Full GC (Ergonomics) [PSYoungGen: 249202K->0K(349696K)] [ParOldGen: 435753K->215569K(524288K)] 684956K->215569K(873984K), [Metaspace: 2796K->2796K(1056768K)], 0.0162790 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
62.757: [GC (Allocation Failure) [PSYoungGen: 157042K->25600K(349696K)] 372612K->241169K(873984K), 0.0023708 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.525: [GC (Allocation Failure) [PSYoungGen: 197996K->11264K(349696K)] 413566K->226833K(873984K), 0.0010468 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.254: [GC (Allocation Failure) [PSYoungGen: 183666K->10240K(349696K)] 501636K->328209K(873984K), 0.0009554 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.330: [GC (Allocation Failure) [PSYoungGen: 177543K->40960K(349696K)] 597913K->461329K(873984K), 0.0029778 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.967: [Full GC (Ergonomics) [PSYoungGen: 187797K->0K(349696K)] [ParOldGen: 522769K->51729K(524288K)] 710566K->51729K(873984K), [Metaspace: 2796K->2796K(1056768K)], 0.0053733 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
71.171: [GC (Allocation Failure) [PSYoungGen: 157085K->117760K(349696K)] 208815K->169489K(873984K), 0.0096054 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
72.719: [GC (Allocation Failure) [PSYoungGen: 264600K->134144K(349696K)] 418729K->288273K(873984K), 0.0154293 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
73.939: [GC (Allocation Failure) [PSYoungGen: 306592K->20480K(349696K)] 460721K->174609K(873984K), 0.0014062 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
75.582: [GC (Allocation Failure) [PSYoungGen: 177562K->46080K(349696K)] 434092K->302609K(873984K), 0.0033416 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.344: [GC (Allocation Failure) [PSYoungGen: 218529K->35840K(349696K)] 475058K->292369K(873984K), 0.0027098 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.423: [GC (Allocation Failure) [PSYoungGen: 162203K->25600K(349696K)] 418733K->282129K(873984K), 0.0021063 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.190: [GC (Allocation Failure) [PSYoungGen: 198036K->61440K(349696K)] 454565K->317969K(873984K), 0.0048759 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.356: [GC (Allocation Failure) [PSYoungGen: 229764K->11264K(349696K)] 691094K->472593K(873984K), 0.0010962 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.793: [GC (Allocation Failure) [PSYoungGen: 106899K->57344K(349696K)] 568228K->518673K(873984K), 0.0050032 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
84.000: [GC (Allocation Failure) [PSYoungGen: 214423K->27648K(349696K)] 675753K->488977K(873984K), 0.0020540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.218: [GC (Allocation Failure) [PSYoungGen: 102788K->68608K(349696K)] 564117K->529937K(873984K), 0.0054193 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.528: [GC (Allocation Failure) [PSYoungGen: 220548K->30720K(349696K)] 681877K->492049K(873984K), 0.0026476 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.290: [GC (Allocation Failure) [PSYoungGen: 203127K->20480K(349696K)] 664456K->481809K(873984K), 0.0018047 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
87.053: [GC (Allocation Failure) [PSYoungGen: 131456K->87040K(349696K)] 592785K->548369K(873984K), 0.0059381 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
88.255: [GC (Allocation Failure) [PSYoungGen: 244097K->51200K(349696K)] 705426K->512529K(873984K), 0.0035835 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.778: [GC (Allocation Failure) [PSYoungGen: 187765K->25600K(349696K)] 649095K->486929K(873984K), 0.0022782 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
90.542: [GC (Allocation Failure) [PSYoungGen: 198013K->112640K(349696K)] 659342K->573969K(873984K), 0.0157762 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
91.322: [GC (Allocation Failure) [PSYoungGen: 223605K->163840K(349696K)] 684935K->625169K(873984K), 0.0154967 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
93.739: [GC (Allocation Failure) [PSYoungGen: 332154K->6144K(349696K)] 793483K->467473K(873984K), 0.0010516 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.175: [GC (Allocation Failure) [PSYoungGen: 101747K->62464K(349696K)] 563076K->523793K(873984K), 0.0053856 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.395: [GC (Allocation Failure) [PSYoungGen: 219523K->36864K(349696K)] 680852K->498193K(873984K), 0.0025027 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.614: [GC (Allocation Failure) [PSYoungGen: 111991K->77824K(349696K)] 573320K->539153K(873984K), 0.0056355 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.939: [GC (Allocation Failure) [PSYoungGen: 224631K->40960K(349696K)] 685960K->502289K(873984K), 0.0026080 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
97.703: [GC (Allocation Failure) [PSYoungGen: 213357K->30720K(349696K)] 674687K->492049K(873984K), 0.0023287 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.467: [GC (Allocation Failure) [PSYoungGen: 141690K->128000K(349696K)] 603019K->589329K(873984K), 0.0061461 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
99.683: [GC (Allocation Failure) [PSYoungGen: 285053K->92160K(349696K)] 746382K->553489K(873984K), 0.0063872 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
99.902: [GC (Allocation Failure) [PSYoungGen: 167283K->133120K(349696K)] 628612K->594449K(873984K), 0.0154090 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
101.234: [GC (Allocation Failure) [PSYoungGen: 295283K->25600K(349696K)] 756612K->486929K(873984K), 0.0023510 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
101.998: [GC (Allocation Failure) [PSYoungGen: 197997K->11264K(349696K)] 659327K->472593K(873984K), 0.0013032 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
102.764: [GC (Allocation Failure) [PSYoungGen: 122220K->62464K(349696K)] 583549K->523793K(873984K), 0.0048342 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.053: [GC (Allocation Failure) [PSYoungGen: 234868K->10240K(349696K)] 696197K->471569K(873984K), 0.0011463 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.598: [GC (Allocation Failure) [PSYoungGen: 110959K->66560K(349696K)] 572289K->527889K(873984K), 0.0050927 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
106.800: [GC (Allocation Failure) [PSYoungGen: 223617K->30720K(349696K)] 684946K->492049K(873984K), 0.0023010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.019: [GC (Allocation Failure) [PSYoungGen: 105846K->92160K(349696K)] 567175K->553489K(873984K), 0.0064100 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
108.348: [GC (Allocation Failure) [PSYoungGen: 233846K->20480K(349696K)] 695175K->481809K(873984K), 0.0022669 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.109: [GC (Allocation Failure) [PSYoungGen: 192875K->56320K(349696K)] 654205K->517649K(873984K), 0.0045643 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
109.876: [GC (Allocation Failure) [PSYoungGen: 167289K->107520K(349696K)] 628618K->568849K(873984K), 0.0152161 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
111.098: [GC (Allocation Failure) [PSYoungGen: 264572K->174080K(349696K)] 725901K->635409K(873984K), 0.0158912 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
111.336: [GC (Allocation Failure) --[PSYoungGen: 249202K->249202K(349696K)] 710532K->710532K(873984K), 0.0153951 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
111.352: [Full GC (Ergonomics) [PSYoungGen: 249202K->0K(349696K)] [ParOldGen: 461329K->216064K(524288K)] 710532K->216064K(873984K), [Metaspace: 2796K->2796K(1056768K)], 0.0154454 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
112.676: [GC (Allocation Failure) [PSYoungGen: 157042K->25600K(349696K)] 373106K->241664K(873984K), 0.0024289 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
113.440: [GC (Allocation Failure) [PSYoungGen: 197996K->11264K(349696K)] 414060K->227328K(873984K), 0.0013482 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
116.164: [GC (Allocation Failure) [PSYoungGen: 183666K->10240K(349696K)] 502130K->328704K(873984K), 0.0011827 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.239: [GC (Allocation Failure) [PSYoungGen: 177543K->40960K(349696K)] 598407K->461824K(873984K), 0.0035470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
119.874: [Full GC (Ergonomics) [PSYoungGen: 187797K->0K(349696K)] [ParOldGen: 523264K->52224K(524288K)] 711061K->52224K(873984K), [Metaspace: 2796K->2796K(1056768K)], 0.0053177 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
121.090: [GC (Allocation Failure) [PSYoungGen: 157085K->117760K(349696K)] 209309K->169984K(873984K), 0.0154349 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
122.633: [GC (Allocation Failure) [PSYoungGen: 264600K->134144K(349696K)] 419224K->288768K(873984K), 0.0158671 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
123.854: [GC (Allocation Failure) [PSYoungGen: 306592K->20480K(349696K)] 461216K->175104K(873984K), 0.0013371 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.490: [GC (Allocation Failure) [PSYoungGen: 177562K->46080K(349696K)] 434586K->303104K(873984K), 0.0036803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.254: [GC (Allocation Failure) [PSYoungGen: 218529K->35840K(349696K)] 475553K->292864K(873984K), 0.0024108 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
128.330: [GC (Allocation Failure) [PSYoungGen: 162203K->25600K(349696K)] 419228K->282624K(873984K), 0.0023758 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
129.093: [GC (Allocation Failure) [PSYoungGen: 198036K->61440K(349696K)] 455060K->318464K(873984K), 0.0047213 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
132.262: [GC (Allocation Failure) [PSYoungGen: 229764K->11264K(349696K)] 691589K->473088K(873984K), 0.0013474 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
132.698: [GC (Allocation Failure) [PSYoungGen: 106899K->57344K(349696K)] 568723K->519168K(873984K), 0.0051420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
133.899: [GC (Allocation Failure) [PSYoungGen: 214423K->27648K(349696K)] 676247K->489472K(873984K), 0.0026461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
134.118: [GC (Allocation Failure) [PSYoungGen: 102788K->68608K(349696K)] 564612K->530432K(873984K), 0.0052970 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
135.444: [GC (Allocation Failure) [PSYoungGen: 220548K->30720K(349696K)] 682372K->492544K(873984K), 0.0026476 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
136.209: [GC (Allocation Failure) [PSYoungGen: 203127K->20480K(349696K)] 664951K->482304K(873984K), 0.0021364 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
