Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(14066916k free), swap 38794768k(6854684k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:NewRatio=3 -XX:ParallelGCThreads=6 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=9 -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
1.391: [GC (Allocation Failure) [PSYoungGen: 131481K->5888K(238592K)] 131481K->57096K(1025024K), 0.0167666 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2.721: [GC (Allocation Failure) [PSYoungGen: 184128K->22240K(238592K)] 235336K->83696K(1025024K), 0.0160894 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
4.914: [GC (Allocation Failure) [PSYoungGen: 236357K->10896K(238592K)] 297814K->72352K(1025024K), 0.0019974 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.001: [GC (Allocation Failure) [PSYoungGen: 225034K->17032K(238592K)] 286491K->78488K(1025024K), 0.0016492 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.090: [GC (Allocation Failure) [PSYoungGen: 146302K->21080K(238592K)] 207758K->154224K(1025024K), 0.0177328 secs] [Times: user=0.01 sys=0.02, real=0.02 secs] 
8.523: [GC (Allocation Failure) [PSYoungGen: 214730K->704K(238592K)] 347874K->236248K(1025024K), 0.0197323 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
9.842: [GC (Allocation Failure) [PSYoungGen: 178993K->5720K(238592K)] 414537K->261744K(1025024K), 0.0069286 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.153: [GC (Allocation Failure) [PSYoungGen: 214743K->21144K(238592K)] 470767K->379568K(1025024K), 0.0348219 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
12.600: [GC (Allocation Failure) [PSYoungGen: 231576K->15992K(238592K)] 590000K->374424K(1025024K), 0.0016951 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.801: [GC (Allocation Failure) [PSYoungGen: 225024K->11832K(238592K)] 583456K->370264K(1025024K), 0.0013538 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
