Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(14344528k free), swap 38794768k(7027000k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:NewRatio=3 -XX:ParallelGCThreads=6 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=10 -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
1.394: [GC (Allocation Failure) [PSYoungGen: 131645K->5840K(240640K)] 131645K->57048K(1027072K), 0.0157746 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2.720: [GC (Allocation Failure) [PSYoungGen: 184157K->21168K(240640K)] 235365K->83648K(1027072K), 0.0150034 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
4.914: [GC (Allocation Failure) [PSYoungGen: 235363K->10904K(240640K)] 297843K->73384K(1027072K), 0.0022368 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.999: [GC (Allocation Failure) [PSYoungGen: 225121K->16984K(240640K)] 287601K->79464K(1027072K), 0.0014627 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
7.092: [GC (Allocation Failure) [PSYoungGen: 146373K->21152K(240640K)] 208854K->155320K(1027072K), 0.0178095 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
8.533: [GC (Allocation Failure) [PSYoungGen: 214880K->600K(240640K)] 349048K->237168K(1027072K), 0.0205130 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
9.871: [GC (Allocation Failure) [PSYoungGen: 178967K->5688K(240640K)] 415535K->262736K(1027072K), 0.0159667 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
11.196: [GC (Allocation Failure) [PSYoungGen: 214789K->21144K(240640K)] 471837K->380592K(1027072K), 0.0326120 secs] [Times: user=0.00 sys=0.02, real=0.03 secs] 
12.648: [GC (Allocation Failure) [PSYoungGen: 231682K->15928K(240640K)] 591130K->375384K(1027072K), 0.0016930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.846: [GC (Allocation Failure) [PSYoungGen: 225039K->11880K(240640K)] 584495K->371336K(1027072K), 0.0011731 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.939: [GC (Allocation Failure) [PSYoungGen: 226112K->16984K(240640K)] 585568K->386680K(1027072K), 0.0040775 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.122: [GC (Allocation Failure) [PSYoungGen: 180024K->21096K(240640K)] 549721K->447112K(1027072K), 0.0192075 secs] [Times: user=0.02 sys=0.02, real=0.02 secs] 
18.461: [GC (Allocation Failure) [PSYoungGen: 199497K->5720K(240640K)] 625513K->472704K(1027072K), 0.0154117 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
19.892: [GC (Allocation Failure) [PSYoungGen: 184105K->5736K(240640K)] 651089K->472720K(1027072K), 0.0014307 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.203: [GC (Allocation Failure) [PSYoungGen: 214849K->15992K(240640K)] 681833K->585376K(1027072K), 0.0315623 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
