Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(13409536k free), swap 35500528k(7398148k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:ParallelGCThreads=8 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2.301: [GC (Allocation Failure) [PSYoungGen: 261366K->11976K(305664K)] 261366K->11984K(1005056K), 0.0030491 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.924: [GC (Allocation Failure) [PSYoungGen: 273114K->10992K(305664K)] 273122K->11000K(1005056K), 0.0025132 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.778: [GC (Allocation Failure) [PSYoungGen: 267096K->31400K(305664K)] 267104K->31408K(1005056K), 0.0046937 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
8.411: [GC (Allocation Failure) [PSYoungGen: 259326K->21232K(305664K)] 259334K->21248K(1005056K), 0.0048254 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.827: [GC (Allocation Failure) [PSYoungGen: 251686K->26320K(305664K)] 251702K->77536K(1005056K), 0.0172605 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
11.260: [GC (Allocation Failure) [PSYoungGen: 256773K->31368K(307200K)] 307989K->184984K(1006592K), 0.0325158 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
12.819: [GC (Allocation Failure) [PSYoungGen: 294540K->5184K(279040K)] 448156K->210624K(978432K), 0.0160592 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
14.251: [GC (Allocation Failure) [PSYoungGen: 235847K->16448K(311296K)] 441287K->273096K(1010688K), 0.0161475 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
16.999: [GC (Allocation Failure) [PSYoungGen: 247075K->25696K(309760K)] 503723K->302824K(1009152K), 0.0150783 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
18.435: [GC (Allocation Failure) [PSYoungGen: 256327K->30720K(306688K)] 533455K->328336K(1006080K), 0.0081714 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
19.976: [GC (Allocation Failure) [PSYoungGen: 261283K->0K(268800K)] 558900K->348816K(968192K), 0.0172907 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
21.410: [GC (Allocation Failure) [PSYoungGen: 230566K->5120K(306176K)] 579382K->507536K(1005568K), 0.0359181 secs] [Times: user=0.00 sys=0.03, real=0.04 secs] 
22.874: [GC (Allocation Failure) [PSYoungGen: 235607K->6144K(306688K)] 738023K->564880K(1006080K), 0.0165458 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
24.314: [GC (Allocation Failure) [PSYoungGen: 211032K->10240K(308736K)] 769769K->620176K(1008128K), 0.0163234 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
24.330: [Full GC (Ergonomics) [PSYoungGen: 10240K->0K(308736K)] [ParOldGen: 609936K->61969K(699392K)] 620176K->61969K(1008128K), [Metaspace: 2779K->2779K(1056768K)], 0.0114790 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.767: [GC (Allocation Failure) [PSYoungGen: 230537K->15360K(307200K)] 292506K->128529K(1006592K), 0.0048953 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
