Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
24.798: [GC (Allocation Failure) [PSYoungGen: 34482K->20480K(69632K)] 874691K->860689K(1013760K), 0.0021038 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.346: [GC (Allocation Failure) [PSYoungGen: 46772K->20480K(69632K)] 886981K->860689K(1013760K), 0.0019535 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.782: [GC (Allocation Failure) [PSYoungGen: 41647K->25600K(69632K)] 953536K->937489K(1013760K), 0.0022970 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
25.784: [GC (Allocation Failure) [PSYoungGen: 25600K->25600K(69632K)] 937489K->937489K(1013760K), 0.0019201 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.786: [Full GC (Allocation Failure) [PSYoungGen: 25600K->0K(69632K)] [ParOldGen: 911889K->77329K(944128K)] 937489K->77329K(1013760K), [Metaspace: 2779K->2779K(1056768K)], 0.0070372 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
26.781: [GC (Allocation Failure) [PSYoungGen: 33458K->10240K(69632K)] 213187K->189969K(1013760K), 0.0011542 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.870: [GC (Allocation Failure) [PSYoungGen: 41652K->10240K(69632K)] 241861K->210449K(1013760K), 0.0008475 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.306: [GC (Allocation Failure) [PSYoungGen: 36681K->15392K(69632K)] 236890K->215609K(1013760K), 0.0014576 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.960: [GC (Allocation Failure) [PSYoungGen: 48847K->6176K(69632K)] 402664K->359993K(1013760K), 0.0007472 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.610: [GC (Allocation Failure) [PSYoungGen: 37586K->15392K(69632K)] 391403K->369209K(1013760K), 0.0014012 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.592: [GC (Allocation Failure) [PSYoungGen: 48847K->15392K(69632K)] 576744K->543289K(1013760K), 0.0013870 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.117: [GC (Allocation Failure) [PSYoungGen: 48850K->6176K(69632K)] 679147K->636473K(1013760K), 0.0013055 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.553: [GC (Allocation Failure) [PSYoungGen: 32468K->16416K(69632K)] 662765K->646713K(1013760K), 0.0015298 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.211: [GC (Allocation Failure) [PSYoungGen: 49871K->7232K(69632K)] 833768K->791129K(1013760K), 0.0015850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.865: [GC (Allocation Failure) [PSYoungGen: 38642K->12320K(69632K)] 822539K->796217K(1013760K), 0.0016622 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.304: [GC (Allocation Failure) [PSYoungGen: 33487K->17472K(69632K)] 889064K->873049K(1013760K), 0.0019209 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
