Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(12066572k free), swap 42461656k(6255872k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:NewRatio=5 -XX:ParallelGCThreads=10 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2.350: [GC (Allocation Failure) [PSYoungGen: 261366K->12128K(305664K)] 261366K->12136K(2053632K), 0.0033426 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.967: [GC (Allocation Failure) [PSYoungGen: 273266K->11040K(305664K)] 273274K->11048K(2053632K), 0.0027505 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.825: [GC (Allocation Failure) [PSYoungGen: 267144K->31368K(305664K)] 267152K->31376K(2053632K), 0.0063568 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
8.466: [GC (Allocation Failure) [PSYoungGen: 259294K->21280K(305664K)] 259302K->21296K(2053632K), 0.0057037 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
9.882: [GC (Allocation Failure) [PSYoungGen: 251734K->26368K(305664K)] 251750K->77584K(2053632K), 0.0183293 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
11.314: [GC (Allocation Failure) [PSYoungGen: 256821K->31448K(305664K)] 308037K->185064K(2053632K), 0.0354458 secs] [Times: user=0.02 sys=0.00, real=0.04 secs] 
12.766: [GC (Allocation Failure) [PSYoungGen: 243125K->26416K(305664K)] 396741K->180040K(2053632K), 0.0027948 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.187: [GC (Allocation Failure) [PSYoungGen: 256851K->37560K(305664K)] 410475K->191184K(2053632K), 0.0029048 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.913: [GC (Allocation Failure) [PSYoungGen: 298713K->16160K(305664K)] 452337K->169784K(2053632K), 0.0014764 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.435: [GC (Allocation Failure) [PSYoungGen: 267083K->31504K(305664K)] 420707K->205616K(2053632K), 0.0086980 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
19.981: [GC (Allocation Failure) [PSYoungGen: 261952K->648K(305664K)] 436064K->225960K(2053632K), 0.0169778 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
21.417: [GC (Allocation Failure) [PSYoungGen: 231097K->5856K(305664K)] 456409K->384768K(2053632K), 0.0472471 secs] [Times: user=0.05 sys=0.03, real=0.05 secs] 
22.882: [GC (Allocation Failure) [PSYoungGen: 236306K->12000K(305664K)] 615218K->442112K(2053632K), 0.0173863 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
24.318: [GC (Allocation Failure) [PSYoungGen: 216851K->10976K(305664K)] 646963K->492288K(2053632K), 0.0173099 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
25.756: [GC (Allocation Failure) [PSYoungGen: 241424K->26304K(305664K)] 722736K->558816K(2053632K), 0.0183785 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
28.493: [GC (Allocation Failure) [PSYoungGen: 273221K->25824K(305664K)] 805733K->558972K(2053632K), 0.0029543 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
