Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(13489104k free), swap 38794768k(6036348k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:NewRatio=3 -XX:ParallelGCThreads=6 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
1.396: [GC (Allocation Failure) [PSYoungGen: 131276K->5808K(236032K)] 131276K->57016K(1022464K), 0.0156946 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2.722: [GC (Allocation Failure) [PSYoungGen: 183952K->26080K(236032K)] 235160K->83608K(1022464K), 0.0159789 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
4.811: [GC (Allocation Failure) [PSYoungGen: 234980K->10712K(236032K)] 292508K->68240K(1022464K), 0.0019386 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.685: [GC (Allocation Failure) [PSYoungGen: 127472K->15864K(236032K)] 185000K->124592K(1022464K), 0.0155425 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
7.010: [GC (Allocation Failure) [PSYoungGen: 196178K->26104K(236032K)] 304906K->170680K(1022464K), 0.0156597 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
8.445: [GC (Allocation Failure) [PSYoungGen: 219650K->20920K(236032K)] 364226K->165496K(1022464K), 0.0021900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.754: [GC (Allocation Failure) [PSYoungGen: 229843K->15848K(236032K)] 374419K->211624K(1022464K), 0.0161704 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
10.964: [GC (Allocation Failure) [PSYoungGen: 224782K->15848K(236032K)] 420559K->314024K(1022464K), 0.0324966 secs] [Times: user=0.03 sys=0.02, real=0.03 secs] 
12.414: [GC (Allocation Failure) [PSYoungGen: 224790K->10696K(236032K)] 522966K->308872K(1022464K), 0.0013940 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.285: [GC (Allocation Failure) [PSYoungGen: 215888K->11736K(236032K)] 514064K->309920K(1022464K), 0.0015576 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.265: [GC (Allocation Failure) [PSYoungGen: 133629K->16872K(236032K)] 431813K->366256K(1022464K), 0.0165945 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
16.890: [GC (Allocation Failure) [PSYoungGen: 225803K->15832K(236032K)] 575187K->365216K(1022464K), 0.0019274 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.090: [GC (Allocation Failure) [PSYoungGen: 224757K->15848K(236032K)] 574141K->385712K(1022464K), 0.0156263 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
19.085: [GC (Allocation Failure) [PSYoungGen: 224784K->15864K(236032K)] 594648K->436928K(1022464K), 0.0163190 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
21.064: [GC (Allocation Failure) [PSYoungGen: 224807K->15816K(236032K)] 645871K->539280K(1022464K), 0.0323879 secs] [Times: user=0.01 sys=0.02, real=0.03 secs] 
22.187: [GC (Allocation Failure) [PSYoungGen: 224764K->11328K(236032K)] 748228K->535168K(1022464K), 0.0017638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.709: [GC (Allocation Failure) [PSYoungGen: 220279K->1088K(236032K)] 744119K->524928K(1022464K), 0.0009843 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.688: [GC (Allocation Failure) [PSYoungGen: 210040K->20544K(236032K)] 733881K->544400K(1022464K), 0.0021077 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.664: [GC (Allocation Failure) [PSYoungGen: 142458K->25664K(236032K)] 666314K->600720K(1022464K), 0.0167696 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
28.074: [GC (Allocation Failure) [PSYoungGen: 229488K->10272K(236032K)] 804544K->585336K(1022464K), 0.0016561 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.057: [GC (Allocation Failure) [PSYoungGen: 220092K->10336K(236032K)] 795156K->636608K(1022464K), 0.0171109 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
29.941: [GC (Allocation Failure) [PSYoungGen: 127111K->10304K(236032K)] 753383K->687776K(1022464K), 0.0179935 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
31.372: [GC (Allocation Failure) [PSYoungGen: 142435K->5216K(236032K)] 819907K->682688K(1022464K), 0.0012541 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.675: [GC (Allocation Failure) [PSYoungGen: 183404K->25664K(236032K)] 860877K->704160K(1022464K), 0.0027668 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.983: [GC (Allocation Failure) [PSYoungGen: 234587K->25632K(236032K)] 913083K->705160K(1022464K), 0.0022657 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
35.402: [GC (Allocation Failure) [PSYoungGen: 229447K->20544K(236032K)] 908975K->700072K(1022464K), 0.0017653 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
