Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(13183912k free), swap 35500528k(7636108k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:ParallelGCThreads=6 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2.286: [GC (Allocation Failure) [PSYoungGen: 261366K->11960K(305664K)] 261366K->11968K(1005056K), 0.0026970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.905: [GC (Allocation Failure) [PSYoungGen: 273098K->10912K(305664K)] 273106K->10920K(1005056K), 0.0026429 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.753: [GC (Allocation Failure) [PSYoungGen: 267016K->31384K(305664K)] 267024K->31392K(1005056K), 0.0045422 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.388: [GC (Allocation Failure) [PSYoungGen: 259310K->21112K(305664K)] 259318K->21128K(1005056K), 0.0042079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.806: [GC (Allocation Failure) [PSYoungGen: 251566K->26232K(305664K)] 251582K->77448K(1005056K), 0.0161333 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
11.239: [GC (Allocation Failure) [PSYoungGen: 256685K->31320K(307200K)] 307901K->184936K(1006592K), 0.0323004 secs] [Times: user=0.03 sys=0.02, real=0.03 secs] 
12.800: [GC (Allocation Failure) [PSYoungGen: 294492K->5184K(279040K)] 448108K->210612K(978432K), 0.0157751 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
14.233: [GC (Allocation Failure) [PSYoungGen: 235847K->16416K(311296K)] 441275K->273052K(1010688K), 0.0157402 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
16.977: [GC (Allocation Failure) [PSYoungGen: 247043K->25696K(309760K)] 503679K->302812K(1009152K), 0.0150952 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
18.411: [GC (Allocation Failure) [PSYoungGen: 256327K->30720K(306688K)] 533443K->328324K(1006080K), 0.0152231 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
19.953: [GC (Allocation Failure) [PSYoungGen: 261283K->0K(268800K)] 558888K->348804K(968192K), 0.0165535 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
21.390: [GC (Allocation Failure) [PSYoungGen: 230566K->5120K(307200K)] 579370K->507524K(1006592K), 0.0372313 secs] [Times: user=0.00 sys=0.05, real=0.04 secs] 
22.861: [GC (Allocation Failure) [PSYoungGen: 235627K->6144K(307200K)] 738031K->564868K(1006592K), 0.0166054 secs] [Times: user=0.00 sys=0.02, real=0.02 secs] 
24.297: [GC (Allocation Failure) [PSYoungGen: 211052K->10240K(308736K)] 769777K->620164K(1008128K), 0.0161447 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
24.313: [Full GC (Ergonomics) [PSYoungGen: 10240K->0K(308736K)] [ParOldGen: 609924K->61969K(699392K)] 620164K->61969K(1008128K), [Metaspace: 2779K->2779K(1056768K)], 0.0116369 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.744: [GC (Allocation Failure) [PSYoungGen: 230546K->15360K(307712K)] 292516K->128529K(1007104K), 0.0049612 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
28.483: [GC (Allocation Failure) [PSYoungGen: 262381K->25632K(308224K)] 375550K->138809K(1007616K), 0.0020784 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.901: [GC (Allocation Failure) [PSYoungGen: 256224K->25600K(296448K)] 369401K->195105K(995840K), 0.0055345 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.427: [GC (Allocation Failure) [PSYoungGen: 210118K->5120K(308736K)] 379623K->174625K(1008128K), 0.0007905 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.846: [GC (Allocation Failure) [PSYoungGen: 235675K->6144K(308736K)] 405180K->226849K(1008128K), 0.0049805 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
34.262: [GC (Allocation Failure) [PSYoungGen: 236705K->11264K(311296K)] 457410K->289313K(1010688K), 0.0060626 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
35.693: [GC (Allocation Failure) [PSYoungGen: 216299K->10240K(309760K)] 494348K->339489K(1009152K), 0.0047896 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
37.114: [GC (Allocation Failure) [PSYoungGen: 240873K->25600K(308736K)] 570122K->416289K(1008128K), 0.0060447 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.729: [GC (Allocation Failure) [PSYoungGen: 297205K->15360K(310784K)] 687895K->406049K(1010176K), 0.0014934 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.260: [GC (Allocation Failure) [PSYoungGen: 266491K->25600K(309760K)] 657180K->523809K(1009152K), 0.0154501 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
44.109: [GC (Allocation Failure) [PSYoungGen: 286993K->31744K(299008K)] 785202K->529953K(998400K), 0.0039736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.523: [GC (Allocation Failure) [PSYoungGen: 262287K->35840K(299520K)] 760496K->545313K(998912K), 0.0037739 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.051: [GC (Allocation Failure) [PSYoungGen: 286707K->20480K(303616K)] 796180K->581153K(1003008K), 0.0052474 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
48.466: [GC (Allocation Failure) [PSYoungGen: 250864K->5120K(305664K)] 811537K->688673K(1005056K), 0.0309657 secs] [Times: user=0.00 sys=0.01, real=0.03 secs] 
48.497: [Full GC (Ergonomics) [PSYoungGen: 5120K->0K(305664K)] [ParOldGen: 683553K->77329K(699392K)] 688673K->77329K(1005056K), [Metaspace: 2795K->2795K(1056768K)], 0.0076753 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
49.936: [GC (Allocation Failure) [PSYoungGen: 230461K->5120K(305664K)] 307790K->133649K(1005056K), 0.0048163 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.380: [GC (Allocation Failure) [PSYoungGen: 220284K->5120K(306176K)] 348813K->184849K(1005568K), 0.0047896 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.800: [GC (Allocation Failure) [PSYoungGen: 235485K->6144K(305664K)] 415214K->242193K(1005056K), 0.0049572 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
55.534: [GC (Allocation Failure) [PSYoungGen: 226328K->35840K(297984K)] 462377K->271889K(997376K), 0.0029651 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
56.946: [GC (Allocation Failure) [PSYoungGen: 266145K->46080K(296448K)] 502195K->297489K(995840K), 0.0039239 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
58.471: [GC (Allocation Failure) [PSYoungGen: 291642K->0K(286208K)] 543052K->353809K(985600K), 0.0054013 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
59.887: [GC (Allocation Failure) [PSYoungGen: 230006K->5120K(294400K)] 583815K->410129K(993792K), 0.0045648 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
61.306: [GC (Allocation Failure) [PSYoungGen: 235130K->51200K(277504K)] 640139K->568849K(976896K), 0.0156339 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
62.740: [GC (Allocation Failure) [PSYoungGen: 260429K->56320K(275968K)] 778078K->573969K(975360K), 0.0045822 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.051: [GC (Allocation Failure) [PSYoungGen: 234729K->31744K(278016K)] 752379K->554513K(977408K), 0.0027923 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.910: [GC (Allocation Failure) [PSYoungGen: 240682K->10240K(279552K)] 763451K->533009K(978944K), 0.0013012 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.001: [GC (Allocation Failure) [PSYoungGen: 137264K->25600K(285184K)] 660034K->599569K(984576K), 0.0053863 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
68.314: [GC (Allocation Failure) [PSYoungGen: 203970K->25600K(281600K)] 777940K->625169K(980992K), 0.0035426 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.318: [Full GC (Ergonomics) [PSYoungGen: 25600K->0K(281600K)] [ParOldGen: 599569K->51729K(699392K)] 625169K->51729K(980992K), [Metaspace: 2796K->2796K(1056768K)], 0.0053508 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
69.747: [GC (Allocation Failure) [PSYoungGen: 178355K->5120K(288768K)] 230085K->56849K(988160K), 0.0008938 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.063: [GC (Allocation Failure) [PSYoungGen: 214386K->15360K(288256K)] 266116K->169489K(987648K), 0.0155598 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
72.389: [GC (Allocation Failure) [PSYoungGen: 234879K->16384K(294400K)] 389009K->175633K(993792K), 0.0019108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
74.022: [GC (Allocation Failure) [PSYoungGen: 251454K->30720K(291840K)] 410704K->189969K(991232K), 0.0023948 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
75.439: [GC (Allocation Failure) [PSYoungGen: 260677K->35840K(290816K)] 419926K->205329K(990208K), 0.0033329 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.516: [GC (Allocation Failure) [PSYoungGen: 270890K->5120K(292352K)] 440379K->174609K(991744K), 0.0006790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.042: [GC (Allocation Failure) [PSYoungGen: 240173K->56320K(273920K)] 409662K->230929K(973312K), 0.0052695 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
80.135: [GC (Allocation Failure) [PSYoungGen: 270530K->6144K(283136K)] 445140K->334353K(982528K), 0.0161513 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
82.553: [GC (Allocation Failure) [PSYoungGen: 210116K->26624K(286720K)] 538326K->354833K(986112K), 0.0023705 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.859: [GC (Allocation Failure) [PSYoungGen: 235808K->21504K(284160K)] 564017K->355857K(983552K), 0.0020908 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.278: [GC (Allocation Failure) [PSYoungGen: 225568K->20480K(293376K)] 559922K->354833K(992768K), 0.0013972 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.696: [GC (Allocation Failure) [PSYoungGen: 250397K->15360K(290304K)] 584750K->359953K(989696K), 0.0019418 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
88.112: [GC (Allocation Failure) [PSYoungGen: 245277K->35840K(291328K)] 589870K->385553K(990720K), 0.0030805 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.746: [GC (Allocation Failure) [PSYoungGen: 224858K->5120K(293376K)] 574571K->406033K(992768K), 0.0044020 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.162: [GC (Allocation Failure) [PSYoungGen: 235093K->51200K(279040K)] 636007K->564753K(978432K), 0.0154413 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
93.903: [GC (Allocation Failure) [PSYoungGen: 260397K->31744K(286208K)] 773951K->545297K(985600K), 0.0024584 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.212: [GC (Allocation Failure) [PSYoungGen: 240947K->25600K(290816K)] 754501K->550417K(990208K), 0.0023468 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.742: [GC (Allocation Failure) [PSYoungGen: 245174K->40960K(287232K)] 769991K->565777K(986624K), 0.0024909 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
98.052: [GC (Allocation Failure) [PSYoungGen: 250291K->15360K(289792K)] 775109K->560657K(989184K), 0.0025475 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.361: [GC (Allocation Failure) [PSYoungGen: 234928K->15360K(288256K)] 780226K->616977K(987648K), 0.0053048 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
