Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(13854140k free), swap 38794768k(6372192k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:NewRatio=3 -XX:ParallelGCThreads=6 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=12 -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
1.396: [GC (Allocation Failure) [PSYoungGen: 131891K->5816K(243712K)] 131891K->57024K(1030144K), 0.0168763 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2.720: [GC (Allocation Failure) [PSYoungGen: 184248K->11936K(243712K)] 235456K->83632K(1030144K), 0.0166608 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
5.135: [GC (Allocation Failure) [PSYoungGen: 236487K->10896K(243712K)] 308184K->82592K(1030144K), 0.0019978 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.441: [GC (Allocation Failure) [PSYoungGen: 235471K->16064K(243712K)] 307167K->98000K(1030144K), 0.0045053 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.645: [GC (Allocation Failure) [PSYoungGen: 237794K->16024K(243712K)] 319730K->118448K(1030144K), 0.0071461 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
9.607: [GC (Allocation Failure) [PSYoungGen: 240612K->15992K(243712K)] 343036K->169616K(1030144K), 0.0166176 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
10.931: [GC (Allocation Failure) [PSYoungGen: 235470K->15960K(243712K)] 389095K->271984K(1030144K), 0.0326892 secs] [Times: user=0.02 sys=0.02, real=0.03 secs] 
12.488: [GC (Allocation Failure) [PSYoungGen: 235445K->15992K(243712K)] 491469K->272016K(1030144K), 0.0017678 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.792: [GC (Allocation Failure) [PSYoungGen: 236945K->11880K(243712K)] 492969K->267912K(1030144K), 0.0012406 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.099: [GC (Allocation Failure) [PSYoungGen: 236474K->17048K(243712K)] 492506K->283320K(1030144K), 0.0041499 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.061: [GC (Allocation Failure) [PSYoungGen: 169970K->5720K(243712K)] 436242K->343672K(1030144K), 0.0182066 secs] [Times: user=0.02 sys=0.02, real=0.02 secs] 
18.383: [GC (Allocation Failure) [PSYoungGen: 184240K->10840K(243712K)] 522192K->369280K(1030144K), 0.0156704 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
19.817: [GC (Allocation Failure) [PSYoungGen: 189343K->5776K(243712K)] 547784K->364216K(1030144K), 0.0013057 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.126: [GC (Allocation Failure) [PSYoungGen: 215007K->15992K(243712K)] 573447K->476832K(1030144K), 0.0323718 secs] [Times: user=0.00 sys=0.02, real=0.03 secs] 
22.470: [GC (Allocation Failure) [PSYoungGen: 235471K->17016K(243712K)] 696311K->482976K(1030144K), 0.0028451 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.997: [GC (Allocation Failure) [PSYoungGen: 231381K->10336K(243712K)] 697341K->487092K(1030144K), 0.0041780 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.305: [GC (Allocation Failure) [PSYoungGen: 229825K->15456K(243712K)] 706581K->502452K(1030144K), 0.0045100 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.618: [GC (Allocation Failure) [PSYoungGen: 234947K->15424K(243712K)] 721944K->522916K(1030144K), 0.0046868 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.468: [GC (Allocation Failure) [PSYoungGen: 178597K->5152K(243712K)] 686089K->615044K(1030144K), 0.0192165 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
